video_name,architecture,runs,mean_fps,fps_sd,median_latency_ms,p95_latency_ms,p99_latency_ms,frames_within_40ms_pct,mean_cpu_percent,peak_cpu_percent,initial_temperature_c,mean_temperature_c,peak_temperature_c,throttling_samples,visible_target_frames,protected_target_frames,partially_protected_target_frames,leaked_target_frames,target_leakage_rate_pct,leak_event_count,mean_max_consecutive_leak_frames,maximum_consecutive_leak_frames,mean_leak_event_duration_frames,mean_reacquisition_delay_frames,maximum_reacquisition_delay_frames,resolved_reappearance_count,unresolved_reappearance_count
video1,Haar Cascade,3,3.749465,0.008161,273.762493,310.510704,315.796627,0.000000,91.046667,93.000000,67.750000,71.404444,73.800000,0.000000,1296.000000,1044.000000,120.000000,132.000000,10.185185,18.000000,16.000000,16.000000,7.333333,0.000000,0.000000,0.000000,0.000000
video1,MTCNN,3,0.761062,0.019533,1332.335036,1374.585664,1394.502468,0.000000,56.062222,58.100000,63.533333,64.975556,67.200000,0.000000,1296.000000,1086.000000,159.000000,51.000000,3.935185,6.000000,16.000000,16.000000,8.500000,0.000000,0.000000,0.000000,0.000000
video1,UltraFace,3,41.222450,0.993633,23.311347,33.229080,40.063114,98.666667,98.095556,100.000000,67.566667,71.050000,74.900000,0.000000,1296.000000,1086.000000,165.000000,45.000000,3.472222,6.000000,14.000000,14.000000,7.500000,0.000000,0.000000,0.000000,0.000000
video1,BlazeFace,3,59.156300,0.303553,16.397355,19.887397,22.740226,99.851852,51.862222,65.000000,62.800000,64.230000,67.200000,0.000000,1296.000000,237.000000,1005.000000,54.000000,4.166667,12.000000,10.000000,10.000000,4.500000,0.000000,0.000000,0.000000,0.000000
video1,Pure YuNet,3,41.776327,0.126538,23.232465,29.016879,32.348155,99.777778,84.328889,87.600000,67.383333,69.937778,73.800000,0.000000,1296.000000,1230.000000,24.000000,42.000000,3.240741,6.000000,13.000000,13.000000,7.000000,0.000000,0.000000,0.000000,0.000000
video1,Pipeline V2,3,43.463137,0.629540,17.918172,34.781350,80.727047,97.259259,68.893333,90.500000,63.900000,66.063333,68.850000,0.000000,1296.000000,852.000000,441.000000,3.000000,0.231481,3.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
video2,Haar Cascade,3,8.369118,0.059406,119.614379,129.285673,134.613316,0.000000,80.911111,84.500000,71.233333,70.744444,72.150000,0.000000,1347.000000,1170.000000,129.000000,48.000000,3.563474,9.000000,14.000000,14.000000,5.333333,0.000000,0.000000,0.000000,0.000000
video2,MTCNN,3,0.870454,0.022618,1164.648704,1242.029863,1257.887171,0.000000,54.915556,58.400000,63.900000,64.584444,66.100000,0.000000,1347.000000,534.000000,780.000000,33.000000,2.449889,9.000000,7.000000,7.000000,3.666667,0.000000,0.000000,0.000000,0.000000
video2,UltraFace,3,44.336266,0.520313,21.872202,28.766117,34.635268,99.703704,98.651111,100.000000,73.066667,73.543333,75.450000,0.000000,1347.000000,690.000000,609.000000,48.000000,3.563474,12.000000,9.000000,9.000000,4.000000,0.000000,0.000000,0.000000,0.000000
video2,BlazeFace,3,58.874896,0.321221,16.739779,19.603497,21.331897,100.000000,49.431111,69.200000,63.350000,63.802222,65.550000,0.000000,1347.000000,0.000000,1221.000000,126.000000,9.354120,18.000000,13.000000,13.000000,7.000000,0.000000,0.000000,0.000000,0.000000
video2,Pure YuNet,3,42.136150,0.143801,22.951409,28.120050,30.996586,99.851852,82.793333,87.500000,69.950000,70.988889,72.700000,0.000000,1347.000000,1182.000000,147.000000,18.000000,1.336303,6.000000,5.000000,5.000000,3.000000,0.000000,0.000000,0.000000,0.000000
video2,Pipeline V2,3,35.535067,0.063313,27.254281,32.016970,34.971640,99.333333,52.822222,66.100000,66.100000,65.757778,68.300000,0.000000,1347.000000,1314.000000,33.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video3,Haar Cascade,3,6.471426,0.028039,153.587558,163.172996,167.285635,0.000000,85.366667,87.700000,70.500000,70.964444,72.150000,0.000000,1347.000000,1179.000000,138.000000,30.000000,2.227171,12.000000,3.000000,3.000000,2.500000,0.000000,0.000000,0.000000,0.000000
video3,MTCNN,3,0.888779,0.081366,1111.982095,1244.252942,1258.529340,0.000000,56.300000,60.300000,64.816667,64.743333,66.650000,0.000000,1347.000000,1152.000000,195.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video3,UltraFace,3,45.791935,0.140552,21.179035,27.358655,32.870231,99.703704,98.740000,100.000000,73.250000,73.103333,75.450000,0.000000,1347.000000,1332.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video3,BlazeFace,3,59.224232,0.638008,16.513157,19.391240,22.523638,100.000000,49.484444,75.000000,63.350000,63.912222,65.550000,0.000000,1347.000000,0.000000,1347.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video3,Pure YuNet,3,42.765960,0.315829,22.518055,28.297937,33.336264,99.703704,83.417778,87.500000,71.600000,71.355556,73.250000,0.000000,1347.000000,1296.000000,51.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video3,Pipeline V2,3,52.253872,0.119816,16.084483,28.228455,31.725316,99.777778,62.908889,74.400000,65.550000,65.391111,66.650000,0.000000,1347.000000,1338.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video4,Haar Cascade,3,5.682406,0.020525,177.364818,190.049766,194.908932,0.000000,87.133333,90.000000,71.233333,71.355556,72.700000,0.000000,2814.000000,2094.000000,441.000000,279.000000,9.914712,24.000000,22.000000,22.000000,11.625000,0.000000,0.000000,3.000000,0.000000
video4,MTCNN,3,0.862305,0.024346,1178.294904,1240.743980,1275.148452,0.000000,55.108889,57.000000,65.183333,64.621111,66.650000,0.000000,2814.000000,2211.000000,318.000000,285.000000,10.127932,27.000000,19.000000,19.000000,10.555556,0.000000,0.000000,0.000000,3.000000
video4,UltraFace,3,44.194489,0.460433,22.080491,28.530815,33.977506,99.777778,98.473333,100.000000,72.883333,72.810000,74.350000,0.000000,2814.000000,1056.000000,297.000000,1461.000000,51.918977,33.000000,239.000000,239.000000,44.272727,0.000000,0.000000,0.000000,3.000000
video4,BlazeFace,3,59.780693,0.571773,16.428865,19.343814,21.049342,100.000000,50.868889,75.000000,63.533333,64.168889,66.100000,0.000000,2814.000000,132.000000,1251.000000,1431.000000,50.852878,54.000000,179.000000,179.000000,26.500000,0.000000,0.000000,0.000000,3.000000
video4,Pure YuNet,3,41.962853,1.721335,22.667030,29.664490,37.013125,99.111111,85.186667,93.700000,71.050000,71.636667,73.800000,0.000000,2814.000000,1269.000000,165.000000,1380.000000,49.040512,81.000000,87.000000,87.000000,17.037037,0.000000,0.000000,0.000000,3.000000
video4,Pipeline V2,3,51.881213,0.521895,17.293440,31.663557,49.491214,98.370370,70.711111,82.600000,66.283333,65.782222,67.200000,0.000000,2814.000000,1608.000000,354.000000,852.000000,30.277186,24.000000,85.000000,85.000000,35.500000,0.000000,0.000000,0.000000,3.000000
video5,Haar Cascade,3,6.812509,0.028130,146.346871,155.400767,158.683498,0.000000,83.671111,84.600000,71.416667,70.573333,71.600000,0.000000,1347.000000,588.000000,759.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video5,MTCNN,3,0.863689,0.008043,1172.453458,1245.156757,1260.590523,0.000000,54.708889,57.800000,65.366667,64.291111,66.100000,0.000000,1347.000000,186.000000,1161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video5,UltraFace,3,39.063726,1.722848,24.675072,33.717885,44.897696,98.592593,98.688889,100.000000,72.333333,72.541111,74.350000,0.000000,1347.000000,0.000000,1347.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video5,BlazeFace,3,53.406155,0.197189,18.311763,21.735511,23.481070,99.925926,49.851111,71.400000,64.083333,64.511111,66.100000,0.000000,1347.000000,0.000000,1347.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
