video_name,cnn_interval,runs,mean_fps,fps_sd,median_latency_ms,p95_latency_ms,p99_latency_ms,frames_within_40ms_pct,mean_cpu_percent,peak_cpu_percent,initial_temperature_c,mean_temperature_c,peak_temperature_c,throttling_samples,visible_target_frames,protected_target_frames,partially_protected_target_frames,leaked_target_frames,target_leakage_rate_pct,leak_event_count,mean_max_consecutive_leak_frames,maximum_consecutive_leak_frames,mean_leak_event_duration_frames,mean_reacquisition_delay_frames,maximum_reacquisition_delay_frames,resolved_reappearance_count,unresolved_reappearance_count
video1,5,3,46.904800,0.080581,16.570411,31.614869,75.396150,98.148148,66.102222,90.500000,64.633333,66.271111,68.850000,0.000000,1296.000000,990.000000,303.000000,3.000000,0.231481,3.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
video2,5,3,35.125441,0.229574,27.464654,32.384762,35.675039,99.259259,51.528889,67.300000,66.833333,65.464444,67.750000,0.000000,1347.000000,1317.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video3,5,3,53.989453,0.089984,15.830701,27.799637,32.341134,99.703704,61.335556,75.700000,64.816667,64.841111,66.100000,0.000000,1347.000000,1338.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video4,5,3,54.576387,0.402576,16.805580,30.532461,51.247275,98.074074,68.155556,80.600000,65.550000,65.378889,67.200000,0.000000,2814.000000,1581.000000,393.000000,840.000000,29.850746,24.000000,85.000000,85.000000,35.000000,0.000000,0.000000,0.000000,3.000000
video5,5,3,16.854752,0.036829,60.268076,75.981916,80.532371,19.481481,40.580000,50.000000,64.633333,63.900000,66.100000,0.000000,1347.000000,102.000000,1245.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video6,5,3,34.749705,0.060297,29.723093,41.116161,50.690485,89.481481,55.597778,74.400000,65.733333,66.564444,68.300000,0.000000,1269.000000,390.000000,867.000000,12.000000,0.945626,6.000000,3.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000
video7,5,3,36.001282,0.519825,27.176008,33.705309,39.509085,99.111111,87.768889,91.500000,67.016667,69.131111,71.600000,0.000000,636.000000,33.000000,42.000000,561.000000,88.207547,21.000000,46.000000,46.000000,26.714286,0.000000,0.000000,0.000000,3.000000
video8,5,3,69.858250,0.616100,10.094242,31.945025,36.933964,99.259259,78.873333,84.400000,68.300000,68.666667,69.950000,0.000000,1362.000000,1272.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video9,5,3,53.261147,0.775552,12.449860,41.693915,56.882702,93.333333,80.026667,95.000000,67.933333,68.544444,69.950000,0.000000,4041.000000,4041.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video10,5,3,20.356469,0.045623,33.249971,92.566468,99.365125,63.555556,66.893333,81.800000,66.100000,66.491111,70.500000,0.000000,2133.000000,534.000000,261.000000,1338.000000,62.728551,36.000000,157.000000,157.000000,37.166667,46.333333,93.000000,9.000000,6.000000
video1,6,3,46.665941,0.370492,17.189931,31.857743,81.467061,97.925926,63.820000,90.900000,65.000000,66.148889,68.850000,0.000000,1296.000000,1233.000000,60.000000,3.000000,0.231481,3.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
video2,6,3,35.412194,0.040345,27.434242,31.768114,34.452598,99.333333,49.795556,66.700000,65.366667,64.853333,67.200000,0.000000,1347.000000,1311.000000,36.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video3,6,3,55.295410,0.154661,15.824758,26.829979,31.699616,99.777778,60.324444,78.900000,66.283333,66.222222,68.300000,0.000000,1347.000000,1335.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video4,6,3,56.521751,0.092719,14.725129,29.530534,41.304373,98.814815,65.588889,76.700000,66.833333,66.271111,68.300000,0.000000,2814.000000,1758.000000,261.000000,795.000000,28.251599,24.000000,85.000000,85.000000,33.125000,0.000000,0.000000,0.000000,3.000000
video5,6,3,15.301645,0.044042,69.484081,76.153956,81.725330,16.148148,38.604444,49.200000,64.816667,63.973333,65.000000,0.000000,1347.000000,63.000000,1284.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video6,6,3,35.286838,0.066579,29.849024,40.889512,46.795031,90.814815,54.513333,68.200000,66.466667,66.295556,68.300000,0.000000,1269.000000,426.000000,825.000000,18.000000,1.418440,6.000000,5.000000,5.000000,3.000000,0.000000,0.000000,0.000000,0.000000
video7,6,3,35.841658,0.650709,27.195425,34.335829,40.985806,98.740741,87.335556,90.500000,67.383333,68.813333,70.500000,0.000000,636.000000,33.000000,42.000000,561.000000,88.207547,21.000000,46.000000,46.000000,26.714286,0.000000,0.000000,0.000000,3.000000
video8,6,3,76.188968,0.432603,9.312175,31.393856,36.798532,99.333333,79.220000,84.200000,68.666667,68.568889,70.500000,0.000000,1362.000000,1281.000000,75.000000,6.000000,0.440529,3.000000,2.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000
video9,6,3,55.096451,0.261973,12.154845,38.284567,45.825654,95.777778,79.651111,85.700000,68.116667,68.556667,69.950000,0.000000,4041.000000,4041.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video10,6,3,20.586135,0.044235,32.635152,92.283147,99.329774,63.407407,66.948889,84.800000,65.366667,66.442222,69.950000,0.000000,2133.000000,537.000000,258.000000,1338.000000,62.728551,36.000000,157.000000,157.000000,37.166667,46.333333,93.000000,9.000000,6.000000
