video_name,configuration,runs,mean_fps,fps_sd,median_latency_ms,p95_latency_ms,p99_latency_ms,frames_within_40ms_pct,mean_cpu_percent,peak_cpu_percent,initial_temperature_c,mean_temperature_c,peak_temperature_c,throttling_samples,visible_target_frames,protected_target_frames,partially_protected_target_frames,leaked_target_frames,target_leakage_rate_pct,leak_event_count,mean_max_consecutive_leak_frames,maximum_consecutive_leak_frames,mean_leak_event_duration_frames,mean_reacquisition_delay_frames,maximum_reacquisition_delay_frames,resolved_reappearance_count,unresolved_reappearance_count
video1,A: Pure YuNet,3,41.798083,0.182038,23.306104,28.873574,31.793008,99.777778,84.391111,88.700000,68.850000,70.548889,74.350000,0.000000,1296.000000,1230.000000,24.000000,42.000000,3.240741,6.000000,13.000000,13.000000,7.000000,0.000000,0.000000,0.000000,0.000000
video10,A: Pure YuNet,3,34.590602,0.301204,27.589697,34.760375,42.979688,98.740741,76.748889,83.300000,71.600000,71.331111,74.350000,0.000000,2133.000000,24.000000,6.000000,2103.000000,98.593530,54.000000,157.000000,157.000000,38.944444,93.000000,93.000000,3.000000,9.000000
video2,A: Pure YuNet,3,42.012814,0.080783,23.006068,28.726435,31.728456,99.777778,82.677778,84.900000,71.233333,71.832222,74.350000,0.000000,1347.000000,1182.000000,147.000000,18.000000,1.336303,6.000000,5.000000,5.000000,3.000000,0.000000,0.000000,0.000000,0.000000
video3,A: Pure YuNet,3,43.020566,0.239515,22.459974,27.728463,30.515520,99.925926,83.524444,85.700000,71.233333,72.272222,73.800000,0.000000,1347.000000,1296.000000,51.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video4,A: Pure YuNet,3,42.689569,0.227200,22.603556,28.099341,31.670414,99.925926,84.622222,88.200000,71.966667,72.296667,73.800000,0.000000,2814.000000,1269.000000,165.000000,1380.000000,49.040512,81.000000,87.000000,87.000000,17.037037,0.000000,0.000000,0.000000,3.000000
video5,A: Pure YuNet,3,39.148742,0.200831,24.698690,30.546080,33.892559,99.629630,80.111111,85.000000,72.150000,72.321111,73.800000,0.000000,1347.000000,123.000000,1224.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video6,A: Pure YuNet,3,41.797118,0.207736,23.167195,29.041541,33.152849,99.777778,83.726667,88.000000,72.333333,72.370000,74.350000,0.000000,1269.000000,954.000000,264.000000,51.000000,4.018913,12.000000,10.000000,10.000000,4.250000,0.000000,0.000000,0.000000,0.000000
video7,A: Pure YuNet,3,42.430994,0.241907,22.840908,29.087480,33.397837,99.777778,87.095556,90.300000,72.516667,72.858889,74.350000,0.000000,636.000000,30.000000,0.000000,606.000000,95.283019,27.000000,46.000000,46.000000,22.444444,0.000000,0.000000,0.000000,3.000000
video8,A: Pure YuNet,3,42.216035,0.191247,22.994087,28.935902,32.864688,99.703704,84.986667,87.800000,72.883333,73.005556,74.350000,0.000000,1362.000000,1320.000000,3.000000,39.000000,2.863436,15.000000,5.000000,5.000000,2.600000,0.000000,0.000000,0.000000,0.000000
video9,A: Pure YuNet,3,38.398185,0.091501,24.847242,35.629696,41.274293,98.222222,85.560000,92.200000,71.783333,73.201111,74.900000,0.000000,4041.000000,4041.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video1,B: Tracker only,3,43.220631,3.807937,18.874764,36.822899,84.719662,95.851852,69.973333,90.500000,63.166667,65.635556,68.300000,0.000000,1296.000000,972.000000,273.000000,51.000000,3.935185,12.000000,14.000000,14.000000,4.250000,0.000000,0.000000,0.000000,0.000000
video2,B: Tracker only,3,32.146684,2.612971,29.888887,38.910413,44.326271,94.814815,57.095556,73.100000,66.283333,65.427778,67.200000,0.000000,1347.000000,1317.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video3,B: Tracker only,3,46.067205,2.172907,19.350399,34.843622,39.126285,98.814815,67.882222,87.900000,64.633333,65.097778,66.650000,0.000000,1347.000000,1338.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video4,B: Tracker only,3,49.635393,0.554032,17.502634,36.252876,65.012342,97.629630,70.713333,81.300000,65.366667,65.378889,66.650000,0.000000,2814.000000,1650.000000,171.000000,993.000000,35.287846,39.000000,85.000000,85.000000,25.461538,0.000000,0.000000,0.000000,3.000000
video5,B: Tracker only,3,15.531818,0.034622,67.490744,83.509100,87.799960,19.111111,47.333333,55.500000,65.183333,64.584444,67.200000,0.000000,1347.000000,102.000000,1245.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video6,B: Tracker only,3,30.933996,0.122211,32.023180,48.537986,54.799041,83.407407,60.153333,71.100000,66.466667,66.026667,67.750000,0.000000,1269.000000,384.000000,861.000000,24.000000,1.891253,9.000000,4.000000,4.000000,2.666667,0.000000,0.000000,0.000000,0.000000
video7,B: Tracker only,3,31.280433,0.198326,31.763697,39.819244,44.592153,95.259259,88.044444,91.400000,67.200000,68.092222,69.950000,0.000000,636.000000,27.000000,0.000000,609.000000,95.754717,30.000000,46.000000,46.000000,20.300000,0.000000,0.000000,0.000000,3.000000
video8,B: Tracker only,3,61.778000,0.339640,11.533106,38.480298,43.285867,96.370370,81.604444,87.400000,67.200000,67.737778,69.400000,0.000000,1362.000000,1266.000000,69.000000,27.000000,1.982379,6.000000,5.000000,5.000000,4.500000,0.000000,0.000000,0.000000,0.000000
video9,B: Tracker only,3,53.475555,0.817753,12.009230,46.049801,59.350893,90.814815,79.466667,83.800000,67.200000,67.358889,69.400000,0.000000,4041.000000,3990.000000,0.000000,51.000000,1.262064,15.000000,4.000000,4.000000,3.400000,0.000000,0.000000,0.000000,0.000000
video10,B: Tracker only,3,20.384186,0.104836,32.858146,92.492803,102.927125,63.185185,66.997778,85.700000,64.450000,65.941111,68.850000,0.000000,2133.000000,534.000000,261.000000,1338.000000,62.728551,36.000000,157.000000,157.000000,37.166667,46.333333,93.000000,9.000000,6.000000
video1,"C: FSM, no expansion",3,41.174475,4.100661,20.397087,40.030255,79.565832,94.296296,72.693333,87.100000,63.166667,65.122222,67.750000,0.000000,1296.000000,990.000000,279.000000,27.000000,2.083333,6.000000,8.000000,8.000000,4.500000,0.000000,0.000000,0.000000,0.000000
video2,"C: FSM, no expansion",3,35.045373,0.107773,27.504144,32.583474,36.456969,99.259259,51.108889,62.900000,64.450000,64.450000,66.100000,0.000000,1347.000000,1317.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video3,"C: FSM, no expansion",3,53.596843,0.222126,15.992788,28.427826,32.655416,99.777778,61.331111,74.300000,66.100000,66.038889,68.300000,0.000000,1347.000000,1338.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
